product,heinemann_price,currency,size,type,cheapest_store,cheapest_price
Shiseido Essential Energy Hydrating Cream 50 ml,63.99,EUR,50,NA,Heinemann,63.99
Shiseido Vital Perfection Uplifting and Firming Day Cream 50 ml,129.99,EUR,50,NA,Heinemann,129.99
Shiseido Suncare Expert Sun Protector Lotion Sensitive SPF 50+ 150 ml,36.99,EUR,150,NA,Heinemann,36.99
Shiseido Suncare Expert Sun Protector Clear Stick SPF 50+ 20 g,35.99,EUR,NA,NA,Heinemann,35.99
Crystal Head Vodka 40% 4x0.05L Miniaturpack,37.99,EUR,NA,NA,Heinemann,37.99
Clarins Instant Concealer N° 3 15 ml,31.99,EUR,15,NA,Heinemann,31.99
Saint Ginger Gingerliqueur 0.5L,22.99,EUR,NA,NA,Heinemann,22.99
Clarins Natural Lip Perfector Lipstick Set,29.99,EUR,NA,NA,Heinemann,29.99
DRUNK ELEPHANT D-BRONZI ANTI-POLLUTION SUNSHINE DROPS,NA,NA,30,NA,NO_RESULT,NA
Dolce & Gabbana Light Blue Capri in Love Eau de Parfum 100 ML,139.99,EUR,100,EDP,Heinemann,139.99
Fugazzi Fragrances Vanilla Haze Extrait de Parfum 50 ml,119.99,EUR,50,NA,Heinemann,119.99
Dewar´s 18y The Vintage Blended Scotch Whisky 40% 1L gift pack,87.99,EUR,NA,NA,Heinemann,87.99
Dewar´s 18y The Vintage Blended Scotch Whisky 40% 1L gift pack,87.99,EUR,NA,NA,Heinemann,87.99
Dewar´s 18y The Vintage Blended Scotch Whisky 40% 1L gift pack,87.99,EUR,NA,NA,Heinemann,87.99
Initio Parfums Privés Magnetic Blend 7 Eau de Parfum (Unisex) 90 ml,199.99,EUR,90,EDP,Heinemann,199.99
Tom Ford Oud Wood Set,219.99,EUR,NA,NA,Heinemann,219.99
Dewar´s 18y The Vintage Blended Scotch Whisky 40% 1L gift pack,87.99,EUR,NA,NA,Heinemann,87.99
